            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2454478.500000000, A.D. 2008-Jan-13 00:00:00.0000, -5.485677825642765E+06, -1.788303706068828E+08, -4.748502588773147E+07,
2454479.500000000, A.D. 2008-Jan-14 00:00:00.0000, -1.403001758004397E+06, -1.815607034891242E+08, -4.830541291481294E+07,
2454480.500000000, A.D. 2008-Jan-15 00:00:00.0000,  2.765626548431188E+06, -1.841513176391860E+08, -4.911884318427661E+07,
2454481.500000000, A.D. 2008-Jan-16 00:00:00.0000,  7.012030911686666E+06, -1.866009109154912E+08, -4.992298779892044E+07,
2454482.500000000, A.D. 2008-Jan-17 00:00:00.0000,  1.132826377823575E+07, -1.889087812736661E+08, -5.071570058075634E+07,
2454483.500000000, A.D. 2008-Jan-18 00:00:00.0000,  1.570664770512319E+07, -1.910747606007798E+08, -5.149501542003020E+07,
2454484.500000000, A.D. 2008-Jan-19 00:00:00.0000,  2.013980510336879E+07, -1.930991496361102E+08, -5.225914083026613E+07,
2454485.500000000, A.D. 2008-Jan-20 00:00:00.0000,  2.462067721872853E+07, -1.949826556422195E+08, -5.300645255718747E+07,
2454486.500000000, A.D. 2008-Jan-21 00:00:00.0000,  2.914253361757614E+07, -1.967263343430202E+08, -5.373548512435582E+07,
2454487.500000000, A.D. 2008-Jan-22 00:00:00.0000,  3.369897386665981E+07, -1.983315373854150E+08, -5.444492312754604E+07,
2454488.500000000, A.D. 2008-Jan-23 00:00:00.0000,  3.828392348131102E+07, -1.997998660737368E+08, -5.513359285717078E+07,
2454489.500000000, A.D. 2008-Jan-24 00:00:00.0000,  4.289162630170140E+07, -2.011331314057880E+08, -5.580045447245446E+07,
2454490.500000000, A.D. 2008-Jan-25 00:00:00.0000,  4.751663508920854E+07, -2.023333197437738E+08, -5.644459461286488E+07,
2454491.500000000, A.D. 2008-Jan-26 00:00:00.0000,  5.215380143841609E+07, -2.034025630635563E+08, -5.706521915878518E+07,
2454492.500000000, A.D. 2008-Jan-27 00:00:00.0000,  5.679826539353502E+07, -2.043431127451212E+08, -5.766164588662892E+07,
2454493.500000000, A.D. 2008-Jan-28 00:00:00.0000,  6.144544471045770E+07, -2.051573161669583E+08, -5.823329692431178E+07,
2454494.500000000, A.D. 2008-Jan-29 00:00:00.0000,  6.609102357886650E+07, -2.058475957231524E+08, -5.877969108216745E+07,
2454495.500000000, A.D. 2008-Jan-30 00:00:00.0000,  7.073094070588772E+07, -2.064164301370786E+08, -5.930043623680627E+07,
2454496.500000000, A.D. 2008-Jan-31 00:00:00.0000,  7.536137681978826E+07, -2.068663380610541E+08, -5.979522197004947E+07,
2454497.500000000, A.D. 2008-Feb-01 00:00:00.0000,  7.997874178716289E+07, -2.071998639638953E+08, -6.026381263748801E+07,
2454498.500000000, A.D. 2008-Feb-02 00:00:00.0000,  8.457966162211144E+07, -2.074195662694691E+08, -6.070604099083599E+07,
2454499.500000000, A.D. 2008-Feb-03 00:00:00.0000,  8.916096570979504E+07, -2.075280076520321E+08, -6.112180242245615E+07,
2454500.500000000, A.D. 2008-Feb-04 00:00:00.0000,  9.371967458467616E+07, -2.075277473276665E+08, -6.151104984349175E+07,
2454501.500000000, A.D. 2008-Feb-05 00:00:00.0000,  9.825298859928805E+07, -2.074213351008504E+08, -6.187378914635343E+07,
2454502.500000000, A.D. 2008-Feb-06 00:00:00.0000,  1.027582777785581E+08, -2.072113068267767E+08, -6.221007513628973E+07,
2454503.500000000, A.D. 2008-Feb-07 00:00:00.0000,  1.072330730519970E+08, -2.069001808445846E+08, -6.252000775261161E+07,
2454504.500000000, A.D. 2008-Feb-08 00:00:00.0000,  1.116750588733920E+08, -2.064904548602791E+08, -6.280372835779212E+07,
2454505.500000000, A.D. 2008-Feb-09 00:00:00.0000,  1.160820669920437E+08, -2.059846027653411E+08, -6.306141587988375E+07,
2454506.500000000, A.D. 2008-Feb-10 00:00:00.0000,  1.204520709003250E+08, -2.053850710105431E+08, -6.329328266903429E+07,
2454507.500000000, A.D. 2008-Feb-11 00:00:00.0000,  1.247831803507203E+08, -2.046942744032640E+08, -6.349957006065831E+07,
2454508.500000000, A.D. 2008-Feb-12 00:00:00.0000,  1.290736353835160E+08, -2.039145914795930E+08, -6.368054377891392E+07,
2454509.500000000, A.D. 2008-Feb-13 00:00:00.0000,  1.333217995168173E+08, -2.030483598077980E+08, -6.383648940602788E+07,
2454510.500000000, A.D. 2008-Feb-14 00:00:00.0000,  1.375261520193671E+08, -2.020978716384637E+08, -6.396770815490558E+07,
2454511.500000000, A.D. 2008-Feb-15 00:00:00.0000,  1.416852793947926E+08, -2.010653702481402E+08, -6.407451313109399E+07,
2454512.500000000, A.D. 2008-Feb-16 00:00:00.0000,  1.457978663006822E+08, -1.999530472103865E+08, -6.415722620216582E+07,
2454513.500000000, A.D. 2008-Feb-17 00:00:00.0000,  1.498626861426183E+08, -1.987630407476816E+08, -6.421617554670036E+07,
2454514.500000000, A.D. 2008-Feb-18 00:00:00.0000,  1.538785915997098E+08, -1.974974352872493E+08, -6.425169393606806E+07,
2454515.500000000, A.D. 2008-Feb-19 00:00:00.0000,  1.578445054049529E+08, -1.961582623181091E+08, -6.426411778330211E+07,
2454516.500000000, A.D. 2008-Feb-20 00:00:00.0000,  1.617594118004972E+08, -1.947475025609859E+08, -6.425378694132280E+07,
2454517.500000000, A.D. 2008-Feb-21 00:00:00.0000,  1.656223491331801E+08, -1.932670892920666E+08, -6.422104513891962E+07,
2454518.500000000, A.D. 2008-Feb-22 00:00:00.0000,  1.694324039679876E+08, -1.917189124541829E+08, -6.416624083724459E+07,
2454519.500000000, A.D. 2008-Feb-23 00:00:00.0000,  1.731887068657098E+08, -1.901048230432332E+08, -6.408972822479819E+07,
2454520.500000000, A.D. 2008-Feb-24 00:00:00.0000,  1.768904296771641E+08, -1.884266372538444E+08, -6.399186808295277E+07,
2454521.500000000, A.D. 2008-Feb-25 00:00:00.0000,  1.805367839712584E+08, -1.866861400108069E+08, -6.387302834245785E+07,
2454522.500000000, A.D. 2008-Feb-26 00:00:00.0000,  1.841270201196645E+08, -1.848850877322731E+08, -6.373358427273126E+07,
